SEXO;FORMA_INGRESSO;COTA2;FORMA_EVASAO2;COD_CURSO;ANO_INGRESSO;DT_EVASAO;ANO_EVASAO;PSC;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;NotaAL1;NotaAL2;NotaC1;NotaIP;NotaAED1;CR-1P;N-MATR;N-DISC-APRV;N-DISC-APRV-1P;TX-INTEGR-DISC;TX-APROV-DISC;TX-APROV-DISC-1P;TX-APROVEIT-DISC
M;SISU;AC;Desistente;FT05;2014;04/07/2018;2018;;524.5;605.2;575.9;722.1;680.0;621.54;0;;1.77;3.6;;1.967777778;15;2;1;0.033898305;0.133333333;0.166666667;0.033898305
M;SISU;AC;Desistente;FT05;2012;28/02/2017;2017;;;;;;;;0;;0;0;;0.25;8;0;0;0;0;0;0
M;SISU;AC;Desistente;FT05;2012;20/12/2018;2018;;;;;;;;0;;0;5.35;0.22;3.054166667;31;7;2;0.118644068;0.225806452;0.333333333;0.084745763
M;PSC;IndepRenda;Sem Evasão;FT05;2016;;;;;;;;;;5;0.33;0.67;3.53;;4.510909091;37;22;3;0.372881356;0.594594595;0.5;0.621468927
M;SISU;AC;Sem Evasão;FT05;2012;;;;;;;;;;2.63;;3.62;8.33;8.8;5.753846154;94;55;3;0.93220339;0.585106383;0.5;0.665859564
M;PSE;Outro;Sem Evasão;FT05;2015;;;;;;;;;;9.33;9.67;5.03;7.55;1;5.2035;57;9;3;0.152542373;0.157894737;0.5;0.190677966
M;SISU;Renda;Desistente;FT05;2013;19/12/2017;2017;;489.8;546.7;471.8;590.1;460.0;511.68;3.87;0;0;1.47;;3.535714286;23;9;2;0.152542373;0.391304348;0.333333333;0.127118644
M;SISU;AC;Desistente;FT05;2012;28/02/2017;2017;;;;;;;;4.25;;0;0;;1.491111111;12;1;0;0.016949153;0.083333333;0;0.012106538
M;SISU;Renda;Sem Evasão;FT05;2016;;;;560.3;644.8;567.5;606;660.0;607.72;1.22;;4.16;5.17;0;4.558;32;9;3;0.152542373;0.28125;0.5;0.254237288
M;SISU;IndepRenda;Sem Evasão;FT05;2018;;;;579.3;629;640.2;619.9;860.0;665.68;8.27;1.08;5.43;5.07;1.26;4.487857143;16;9;5;0.152542373;0.5625;0.833333333;0.762711864
M;SISU;IndepRenda;Desistente;FT05;2017;12/12/2018;2018;;636.7;681.8;590.5;656.7;800.0;673.14;1.44;;0.56;7.55;3.11;3.569166667;21;8;3;0.13559322;0.380952381;0.5;0.338983051
M;PSC;Renda;Desistente;FT05;2014;15/03/2018;2018;;;;;;;;5.45;0.13;5.7;5.07;5.83;5.067;23;8;5;0.13559322;0.347826087;0.833333333;0.13559322
M;SISU;IndepRenda;Sem Evasão;FT05;2018;;;;585;636.6;608.7;584.5;580.0;598.96;1.9;;1;2.67;;2.734444444;10;1;1;0.016949153;0.1;0.166666667;0.084745763
M;SISU;AC;Sem Evasão;FT05;2016;;;;642.8;668.5;688.1;777.3;720.0;699.34;6.17;1.67;5.01;5.47;1.36;3.71;41;20;6;0.338983051;0.487804878;1;0.564971751
M;PSC;AC;Desistente;FT05;2015;13/03/2017;2017;;570.3;614.8;615.5;414;800.0;602.92;7.33;1.5;7.37;2.69;;3.629;16;4;4;0.06779661;0.25;0.666666667;0.084745763
F;PSC;AC;Sem Evasão;FT05;2013;;;;;;;;;;5;7.17;5;7.47;9.03;6.958;57;38;6;0.644067797;0.666666667;1;0.536723164
M;PSC;AC;Sem Evasão;FT05;2018;;;;;;;;;;4.61;;1.17;5.8;0.46;4.003;12;4;3;0.06779661;0.333333333;0.5;0.338983051
F;PSC;AC;Desistente;FT05;2014;14/03/2017;2017;;;;;;;;5;0;1.53;4.53;;4.5;24;8;3;0.13559322;0.333333333;0.5;0.13559322
F;SISU;Renda;Sem Evasão;FT05;2014;;;;555.3;653.4;594.2;668.5;640.0;622.28;5.05;0;4.09;3;;3.795;19;5;3;0.084745763;0.263157895;0.5;0.084745763
F;PSC;AC;Sem Evasão;FT05;2017;;;;;;;;;;8.27;7.25;8;7.97;3.81;7.864615385;23;18;6;0.305084746;0.782608696;1;0.762711864
F;SISU;AC;Sem Evasão;FT05;2018;;;;586.5;606.6;590.5;627.4;800.0;642.2;6.11;0.04;5.07;6.6;0.45;4.007857143;15;7;5;0.118644068;0.466666667;0.833333333;0.593220339
F;SISU;AC;Sem Evasão;FT05;2016;;;;661;715.7;521.5;617.6;900.0;683.16;5.11;;2.92;5.17;7.59;5.040909091;37;20;5;0.338983051;0.540540541;0.833333333;0.564971751
M;SISU;Renda;Desistente;FT05;2018;17/01/2019;2019;;631.7;613.7;620;725.5;640.0;646.18;1.62;;1.17;4.2;;2.222;10;2;2;0.033898305;0.2;0.333333333;0.169491525
M;PSC;AC;Sem Evasão;FT05;2014;;;;530.4;508;553.4;758.7;380.0;546.1;5.22;0.83;7.73;6.43;7.5;5.76;62;29;6;0.491525424;0.467741935;1;0.491525424
M;PSC;AC;Sem Evasão;FT05;2014;;;;;;;;;;5;0;5.03;5.53;2.22;4.336923077;34;14;6;0.237288136;0.411764706;1;0.237288136
M;PSC;AC;Desistente;FT05;2012;14/01/2013;2013;;;;;;;;4.13;;1.73;0;;3.955;6;2;2;0.033898305;0.333333333;0.333333333;0.024213075
M;SISU;AC;Sem Evasão;FT05;2018;;;;592.6;691.7;694.7;645.2;720.0;668.84;7.89;7.58;7.7;8.5;7.65;7.7544;32;9;3;0.152542373;0.28125;0.5;0.762711864
M;PSC;AC;Sem Evasão;FT05;2015;;;;;;;;;;9.27;8.67;9.83;8.87;9.09;8.574285714;59;51;6;0.86440678;0.86440678;1;1.080508475
M;SISU;AC;Desistente;FT05;2015;20/12/2018;2018;;634.7;701.5;661.5;770.4;780.0;709.62;5.67;4.3;4;4.35;;4.189090909;17;7;3;0.118644068;0.411764706;0.5;0.148305085
M;SISU;AC;Desistente;FT05;2013;28/01/2014;2014;;597.6;691.8;701.9;743.3;760.0;698.92;0.83;;0;1.53;;2.165;9;1;1;0.016949153;0.111111111;0.166666667;0.014124294
F;PSC;AC;Sem Evasão;FT05;2014;;;;658.2;602.2;521.9;616.8;820.0;643.82;6;1.2;6.11;6.37;7.03;6.241538462;76;53;6;0.898305085;0.697368421;1;0.898305085
F;PSE;Outro;Desistente;FT05;2014;19/07/2017;2017;;;;;;;;5.5;5;5;7.43;7.5;6.740784314;52;2;2;0.033898305;0.038461538;0.333333333;0.033898305
M;PSC;AC;Sem Evasão;FT05;2017;;;;;;;;;;5.53;8.1;4.22;5.71;8.56;7.622307692;32;22;5;0.372881356;0.6875;0.833333333;0.93220339
M;SISU;AC;Formado;FT05;2012;02/08/2018;2018;;;;;;;;4.43;5;5.47;8.97;8.97;6.266428571;79;59;5;1;0.746835443;0.833333333;0.714285714
M;PSC;IndepRenda;Sem Evasão;FT05;2017;;;;;;;;;;0;;0.56;3.39;;4.211666667;19;12;3;0.203389831;0.631578947;0.5;0.508474576
M;PSC;AC;Sem Evasão;FT05;2018;;;;;;;;;;7.33;3.29;8.2;7.83;4.22;6.685;22;11;5;0.186440678;0.5;0.833333333;0.93220339
F;PSC;IndepRenda;Sem Evasão;FT05;2016;;;;578.8;567.9;551.7;408.1;520.0;525.3;4.06;;1.79;4.47;;5.249090909;35;19;2;0.322033898;0.542857143;0.333333333;0.536723164
M;PSC;Renda;Desistente;FT05;2016;02/03/2018;2018;;585.5;597.2;550.4;369.1;500.0;520.44;0.11;;0.04;2.73;;2.004285714;13;0;0;0;0;0;0
M;PSC;Renda;Sem Evasão;FT05;2018;;;;572.3;587.3;581.8;669.9;560.0;594.26;1.18;;0.67;1.67;;2.382222222;12;1;1;0.016949153;0.083333333;0.166666667;0.084745763
M;SISU;AC;Desistente;FT05;2012;06/03/2015;2015;;;;;;;;5.2;7.91;5.22;8.93;6.63;6.208461538;36;24;6;0.406779661;0.666666667;1;0.290556901
