ANO_INGRESSO;CURSO;SEXO;PSELETIVO;COTAORIG;COTA;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;CR-1P;N-DISC-APRV;TX-APROVEIT;1A-OPÇÃO;ACOLHIMENTO;GRAD-PREV;TIPO-EM;MODAL-EM;CONCLUSÃO-EM;INGLÊS;LING-PROG;DESLOCAMENTO-MODAL;TEMPO-DESLOC;INTERNET;COMPUTADOR-TER;COMPUTADOR-USO;PAIS-FORMAÇÃO;MORADIA-PROPRIA;RENDA-CONTRIBUI;MORADIA-QTOS;RENDA-TOTAL1;RENDA-TOTAL2;TRABALHO;ESTADO-CIVIL;FILHOS;RELIGIAO-TIPO;RELIGIAO-FE;RELIGIAO-FREQ;CONVERSA;LAZER-FREQ
2018;IE08;M;PSC;AC;AC;;;;;;;6.530;9;0.7347;Sim;Não;Não;privada;tradicional;1;4;Não;Carona;<1h;Sim;Sim;Exclusivo;1;Própria;Mãe;2;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;1;0;3;5
2018;IE08;F;SISU;PPI2;NRenda;541.3;566.9;525.2;629.6;940.0;640.6;5.536;8;0.6531;Sim;Não;Não;pública;tradicional;1;2;Não;Ônibus;<1h;Sim;Sim;Compartilhado;0;Própria;Pai;5;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;;4;3;4
2018;IE08;F;SISU;PPI2;NRenda;625;642.4;602.5;676.7;880.0;685.3;3.514;4;0.3265;Sim;Sim;Sim;pública;tradicional;4;3;Não;Ônibus;<1h;Sim;Não;Compartilhado;0;Alugada;Outros;1;<1.5 SM;1;Não;Solteiro;Não;Não;0;0;3;3
2018;FT05;M;PSC;AC;AC;593.8;642.5;631.5;843.5;720.0;686.3;4.495;9;0.7627;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;2;Própria;Pai;6;4.5 a 6 SM;4;Não;Solteiro;Não;Sim;3;5;3;5
2018;IE08;M;SISU;NDC2;NRenda;628.7;677.8;649.2;737.2;580.0;654.6;6.799;7;0.5714;Sim;Não;Sim;pública;tradicional;6;4;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;1;Própria;Outros;4;;;Não;Casado;Não;Sim;;;3;5
2018;IE08;M;SISU;AC;AC;560.7;658.7;654.3;770.1;920.0;712.8;7.302;10;0.8163;Sim;Não;Não;pública;técnico;1;4;Sim;Carona;1h-2h;Sim;Sim;Exclusivo;1;Alugada;Mãe;5;4.5 a 6 SM;4;Estágio;Solteiro;Não;Sim;4;4;1;4
2018;IE08;M;SISU;AC;AC;660.3;661.5;676.7;836.9;700.0;707.1;6.984;7;0.5714;Não;Não;Sim;privada;técnico;6;3;Sim;Veículo próprio;<1h;Sim;Sim;Compartilhado;1;Própria;Eu;4;6 a 10 SM;5;Tempo integral;Casado;Sim;Não;2;0;3;4
2018;IE08;M;SISU;AC;AC;575.7;664;623.7;890.1;700.0;690.7;6.522;6;0.4898;Não;Não;Sim;privada;técnico;4;3;Sim;Ônibus;<1h;Sim;Sim;Exclusivo;0;Alugada;Mãe;6;3 a 4.5 SM;3;Informal;Solteiro;Não;Não;0;0;0;5
2018;IE08;F;PSC;AC;AC;624.8;614;639.2;665.4;820.0;672.7;7.396;9;0.7347;Sim;Sim;Não;privada;técnico;1;3;Sim;Veículo próprio;<1h;Sim;Sim;Compartilhado;2;Própria;Mãe;3;> 10 SM;6;Não;Solteiro;Não;Sim;3;4;3;2
2018;IE17;M;SISU;PPI1;Renda;571.8;621.7;603.9;639.2;720.0;631.3;4.353;3;0.2727;Sim;Não;Sim;pública;tradicional;3;2;Não;Ônibus;<1h;Sim;Sim;Compartilhado;2;Própria;Pai;5;<1.5 SM;1;Não;Solteiro;Não;Sim;;;3;5
